feat,ret,n_days,n_obs,ic_mean,ic_std,ir,hit_rate,ic_p5,ic_p95,pillar,verdict
chip_foreign_net_5d,fwd_ret_1,502,900435,0.0006284966906807754,0.05114661176401798,0.012288139311760381,0.4900398406374502,-0.08100011434146631,0.08414559205837963,chip,REJECT
chip_foreign_net_20d,fwd_ret_1,498,884044,0.0005293506988196,0.04764024167737819,0.011111419257786017,0.5,-0.07288587364431802,0.08200284132421108,chip,REJECT
chip_foreign_trend_20d,fwd_ret_1,493,873200,-0.0005250719933969924,0.0438526464806091,-0.011973553149846277,0.49898580121703856,-0.07724581226776124,0.06965630639604593,chip,REJECT
chip_all_inst_net_20d,fwd_ret_1,498,884044,-0.0017719500172138066,0.05291904640008861,-0.03348416378891588,0.5140562248995983,-0.08256220028977547,0.08992843508404559,chip,REJECT
chip_trust_net_5d,fwd_ret_1,502,900435,-0.0031677984285925966,0.04193509285912132,-0.0755405130312849,0.5338645418326693,-0.07046182572168173,0.0670159757816909,chip,REJECT
chip_all_inst_net_5d,fwd_ret_1,502,900435,-0.0032932086009464364,0.054684544757505935,-0.060221925875947144,0.5278884462151394,-0.09229857698967775,0.08824718412411141,chip,REJECT
chip_consensus_5d,fwd_ret_1,502,945607,-0.0037539892308341644,0.04171505345469462,-0.08999123625506682,0.5398406374501992,-0.0694421095272707,0.06698156007499824,chip,REJECT
chip_trust_net_20d,fwd_ret_1,498,884044,-0.004804204094744295,0.04049102529639005,-0.11864861557784782,0.5261044176706827,-0.07240923359511377,0.05955134941300318,chip,REJECT
chip_foreign_net_1d,fwd_ret_1,503,905325,-0.0062217683337333525,0.06042813875283507,-0.10296144250250384,0.5666003976143141,-0.10458562553834622,0.09395629855519724,chip,WEAK
chip_dealer_net_5d,fwd_ret_1,502,900435,-0.00787494638459578,0.053311950097978685,-0.14771446870960284,0.5438247011952191,-0.09980664025072515,0.07784717367406248,chip,WEAK
chip_foreign_net_20d,fwd_ret_20,479,848665,0.0022788704068386558,0.05015077437072658,0.04544038323302245,0.5093945720250522,-0.07290653775582612,0.0895801848228594,chip,REJECT
chip_foreign_net_5d,fwd_ret_20,483,864701,0.0007933989971574819,0.04772293664350895,0.016625108448044264,0.5279503105590062,-0.07976046044824764,0.08029077009693558,chip,REJECT
chip_foreign_trend_20d,fwd_ret_20,474,837909,0.0002858935664128898,0.04427770220417507,0.006456829333522463,0.5147679324894515,-0.07630858970868368,0.07507375412102985,chip,REJECT
chip_foreign_net_1d,fwd_ret_20,484,869483,-0.002685047171164874,0.051475995683388544,-0.05216115075616393,0.5268595041322314,-0.0835312489690344,0.08251283732433458,chip,REJECT
chip_all_inst_net_20d,fwd_ret_20,479,848665,-0.0030947755842614913,0.05139614613126017,-0.060214156453633136,0.5407098121085595,-0.08724319097967431,0.08762501303164819,chip,REJECT
chip_all_inst_net_5d,fwd_ret_20,483,864701,-0.004989530153755758,0.04703003553559429,-0.10609241725916779,0.5507246376811594,-0.07997362550024475,0.07350280332045529,chip,REJECT
chip_trust_net_20d,fwd_ret_20,479,848665,-0.005776578818775859,0.03409917405165301,-0.1694052416057224,0.5678496868475992,-0.05956367370620611,0.052344261822652595,chip,WEAK
chip_consensus_5d,fwd_ret_20,483,908906,-0.00587499332489966,0.03217869225274397,-0.18257402379050014,0.5652173913043478,-0.06030650916194723,0.045243590426555166,chip,WEAK
chip_dealer_net_5d,fwd_ret_20,483,864701,-0.007896308009154678,0.043104876944004146,-0.1831882740185632,0.5610766045548654,-0.08329221656382822,0.06250849303789179,chip,WEAK
chip_trust_net_5d,fwd_ret_20,483,864701,-0.00854984489971296,0.032180075874517,-0.2656875307893066,0.5962732919254659,-0.06373257040502658,0.04496624418224816,chip,WEAK
